work_id,osm_way_id,action,split_lat,split_lng,old_name,new_name,new_name_curated_display,affected_segment_description,public_note
OSM-000,65363660,rename_way,,,Цар Иван Страцимир,УЛ.ЦАР ИВАН СРАЦИМИР,Цар Иван Срацимир,145 addresses; class=spelling,mechanical patch (rename_way)
OSM-001,900801959 1266691902,rename_way,,,Трайко Китанчев,УЛ.КАП.РАЙЧО,Кап. Райчо,122 addresses; class=variant_suspect,signed manual resolution (rename_way)
OSM-002,469339727 41974680 641159225,add_missing_name,,,Петър Маринов,УЛ.ИВАН ЯНЕВ,Иван Янев,75 addresses; class=variant_suspect,mechanical patch (add_missing_name)
OSM-003,449889232 449889231 93175643,rename_way,,,Арх. Стоян Доков,УЛ.АРХ.СТОЯН ДОКОВ,Арх. Стоян Доков,67 addresses; class=spelling,mechanical patch (rename_way)
OSM-004,93842858 28400649 1365094519,rename_way,,,Кръстю Асенов,ул кръстьо асенов,Кръстьо Асенов,66 addresses; class=variant_suspect,signed manual resolution (rename_way)
OSM-005,597418401,rename_way,,,Арх. Стоян Доков,УЛ.АРХ.ТОРОС ТОРОМАНЯН,Арх. Торос Тороманян,62 addresses; class=variant_suspect,signed manual resolution (rename_way)
OSM-006,184567741 42644290 944053138,rename_way,,,д-р Василаки Пападополу,УЛ.Д-Р ВАСИЛАКИ ПАПАДОПУЛУ,Д-р Василаки Пападопулу,51 addresses; class=spelling,mechanical patch (rename_way)
OSM-007,42460846,split_and_rename,43.203332,27.897189,Антон Страшимиров,УЛ.БАРУТЕН ПОГРЕБ,Барутен погреб,44 addresses; class=segment_rename,mechanical patch (split_and_rename)
OSM-008,41574592,add_missing_name,,,Шар,УЛ.ТОДОР КАБЛЕШКОВ,Тодор Каблешков,40 addresses; class=variant_suspect,mechanical patch (add_missing_name)
OSM-009A,161246298,add_missing_name,,,,УЛ.ВЕНЧАН,Венчан,,audited amendment; add missing official street name on separate unnamed way
OSM-010,310288375 842257387,add_missing_name,,,бул. Княз Борис I,УЛ.ХРИСТО ДИНЕВ,Христо Динев,27 addresses; class=variant_suspect,mechanical patch (add_missing_name)
OSM-011,184573249,split_and_rename,43.23014,27.968572,Безмер,УЛ.БИСТРА,Бистра,27 addresses; class=segment_rename,mechanical patch (split_and_rename)
OSM-012,42107274 111567743,rename_way,,,Гавраил Кръстевич,УЛ.ГАВРИЛ КРЪСТЕВИЧ,Гаврил Кръстевич,25 addresses; class=spelling,mechanical patch (rename_way)
OSM-013,65753793 982825786 264740127,rename_way,,,д-р Мирон Игнатев,УЛ.Д-Р МИРОН ИГНАТИЕВ,Д-р Мирон Игнатиев,24 addresses; class=spelling,mechanical patch (rename_way)
OSM-014,41406380 42938392,rename_way,,,Топрахисар,УЛ.ТОПРА ХИСАР,Топра хисар,24 addresses; class=spelling,mechanical patch (rename_way)
OSM-015,802366653 41991150 1352476163,rename_way,,,Овче поле,УЛ.ОВЧО ПОЛЕ,Овчо поле,24 addresses; class=spelling,mechanical patch (rename_way)
OSM-016,250809326,rename_way,,,Батова,УЛ.ПЕТЪР САПУНОВ,Петър Сапунов,23 addresses; class=variant_suspect,signed manual resolution (rename_way)
OSM-017,175894807,split_and_rename,43.232559,27.907889,Жасмин,УЛ.ГЛАДИОЛА,Гладиола,21 addresses; class=segment_rename,mechanical patch (split_and_rename)
