kind,item,zoom_band,bytes,note
real_input_geojson,varna_streets_2026-05-13,clipped,4030921,"10359 features (real clipped OSM roads+names)"
real_input_geojson,varna_buildings_2026-05-13,clipped,13907855,"38124 features (real clipped OSM)"
measured_pmtiles,minimal_roads,z12-z16,2333593,"REAL build (pinned tippecanoe 2.79.0 -> pmtiles 1.30.3)"
measured_pmtiles,minimal_roads,z12-z17,3613513,"REAL build"
measured_pmtiles,minimal_roads,z13-z17,3322606,"REAL build (recommended field-use band)"
measured_pmtiles,minimal_roads,z14-z17,2982136,"REAL build"
measured_pmtiles,roads_buildings,z12-z16,7523876,"REAL build (roads + building footprints)"
measured_pmtiles,roads_buildings,z13-z17,9455064,"REAL build (roads + building footprints)"
gate,size_target,,20971520,"<= 20 MB target"
verdict,size_gate,,,"PASS_MEASURED — every built cell <= 20 MB with large margin (minimal 2.3-3.6MB; roads+buildings 7.5-9.5MB). water/parks not in current clip = small additive delta."
determinism,pmtiles_double_build,z13-z17,,"raw bytes DRIFT run-to-run (tippecanoe threaded tile ordering); tile SET identical (3243 tiles), size stable to a few bytes -> content-equivalent. B1 gate must assert on decoded TILE CONTENT or pin single-thread tippecanoe, NOT raw bytes."
